seq_id,result,probability
NONHSAT000058.2,lncRNA,0.835
NONHSAT000151.2,lncRNA,1.0
NONHSAT000186.2,lncRNA,0.999
NONHSAT000233.2,mRNA,0.999
NONHSAT000246.2,lncRNA,1.0
NONHSAT000309.2,lncRNA,0.999
NONHSAT000329.2,lncRNA,0.993
NONHSAT000342.2,lncRNA,1.0
NONHSAT000449.2,lncRNA,0.908
NONHSAT000529.2,lncRNA,0.933
NONHSAT000596.2,lncRNA,1.0
NONHSAT000626.2,mRNA,0.999
NONHSAT000717.2,lncRNA,0.995
NONHSAT000732.2,mRNA,0.984
NONHSAT000743.2,lncRNA,1.0
NONHSAT000825.2,lncRNA,1.0
NONHSAT000852.2,lncRNA,1.0
NONHSAT001122.2,mRNA,0.999
NONHSAT001142.2,mRNA,0.999
NONHSAT001256.2,lncRNA,1.0
NONHSAT001464.2,lncRNA,0.999
NONHSAT001582.2,lncRNA,0.999
NONHSAT001931.2,lncRNA,1.0
NONHSAT001939.2,lncRNA,1.0
NONHSAT002009.2,lncRNA,0.999
NONHSAT002153.2,lncRNA,0.999
NONHSAT002169.2,mRNA,0.901
NONHSAT002205.2,lncRNA,1.0
NONHSAT002290.2,lncRNA,0.999
NONHSAT002293.2,lncRNA,1.0
NONHSAT002313.2,mRNA,0.964
NONHSAT002336.2,mRNA,0.706
NONHSAT002547.2,mRNA,0.888
NONHSAT002568.2,lncRNA,0.997
NONHSAT002640.2,lncRNA,0.568
NONHSAT002652.2,mRNA,0.965
NONHSAT002672.2,mRNA,0.742
NONHSAT002712.2,lncRNA,0.991
NONHSAT002733.2,lncRNA,0.999
NONHSAT002860.2,lncRNA,0.999
NONHSAT003085.2,lncRNA,0.999
NONHSAT003324.2,mRNA,1.0
NONHSAT003347.2,mRNA,0.705
NONHSAT003662.2,lncRNA,1.0
NONHSAT003666.2,mRNA,0.907
NONHSAT003840.2,lncRNA,0.999
NONHSAT003896.2,lncRNA,1.0
NONHSAT003938.2,lncRNA,1.0
NONHSAT004135.2,lncRNA,1.0
NONHSAT004181.2,mRNA,0.752
NONHSAT004401.2,lncRNA,1.0
NONHSAT004495.2,lncRNA,0.702
NONHSAT005013.2,lncRNA,0.983
NONHSAT005309.2,lncRNA,1.0
NONHSAT005476.2,lncRNA,0.996
NONHSAT005481.2,lncRNA,0.999
NONHSAT005497.2,lncRNA,1.0
NONHSAT005556.2,lncRNA,1.0
NONHSAT005640.2,lncRNA,0.999
NONHSAT005704.2,lncRNA,1.0
NONHSAT005860.2,lncRNA,1.0
NONHSAT005893.2,mRNA,0.533
NONHSAT006134.2,lncRNA,0.999
NONHSAT006160.2,lncRNA,1.0
NONHSAT006227.2,lncRNA,1.0
NONHSAT006246.2,lncRNA,0.992
NONHSAT006278.2,lncRNA,1.0
NONHSAT006279.2,mRNA,0.939
NONHSAT007014.2,lncRNA,1.0
NONHSAT007296.2,lncRNA,1.0
NONHSAT007315.2,lncRNA,0.887
NONHSAT007360.2,lncRNA,0.999
NONHSAT007450.2,lncRNA,0.999
NONHSAT007515.2,mRNA,0.736
NONHSAT007751.2,lncRNA,1.0
NONHSAT008229.2,lncRNA,1.0
NONHSAT008314.2,mRNA,0.971
NONHSAT008583.2,lncRNA,0.999
NONHSAT008586.2,lncRNA,0.991
NONHSAT008703.2,lncRNA,1.0
NONHSAT008807.2,lncRNA,1.0
NONHSAT008991.2,lncRNA,0.999
NONHSAT009181.2,lncRNA,0.999
NONHSAT009261.2,mRNA,0.999
NONHSAT009458.2,lncRNA,0.999
NONHSAT009605.2,lncRNA,0.999
NONHSAT009643.2,mRNA,0.998
NONHSAT009698.2,lncRNA,0.883
NONHSAT009783.2,lncRNA,1.0
NONHSAT009827.2,mRNA,0.983
NONHSAT009979.2,lncRNA,0.999
NONHSAT009993.2,lncRNA,0.999
NONHSAT010027.2,lncRNA,1.0
NONHSAT010305.2,lncRNA,0.861
NONHSAT010404.2,lncRNA,1.0
NONHSAT010627.2,lncRNA,1.0
